full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Emily Bridges,0,a communications director,Laurel,Maryland,MD,J! Archive - Show #7581,7/24/17,2,0
Jack Izzo,16,a senior,San Diego,California,CA,J! Archive - Show #7864,11/15/18,3,0
Jack Izzo,18000,a senior,San Diego,California,CA,J! Archive - Show #7861,11/12/18,2,0
Avi Gupta,26600,a senior,Portland,Oregon,OR,J! Archive - Show #8025,6/28/19,1,1
Avi Gupta,24200,a senior,Portland,Oregon,OR,J! Archive - Show #8024,6/27/19,1,1
Avi Gupta,39200,a senior,Portland,Oregon,OR,J! Archive - Show #8023,6/26/19,1,1
Avi Gupta,25599,a senior,Portland,Oregon,OR,J! Archive - Show #8020,6/21/19,1,1
Eesha Sohail,0,a senior,Bakersfield,California,CA,J! Archive - Show #8022,6/25/19,2,0
Eesha Sohail,19787,a senior,Bakersfield,California,CA,J! Archive - Show #8017,6/18/19,3,0
Hannah Nekritz,100,a senior,Stamford,Connecticut,CT,J! Archive - Show #8021,6/24/19,3,0
Hannah Nekritz,18200,a senior,Stamford,Connecticut,CT,J! Archive - Show #8020,6/21/19,2,0
Audrey Sarin,16800,a senior,Redmond,Washington,WA,J! Archive - Show #8019,6/20/19,3,0
Alison Purcell,11600,a senior,Bellaire,Texas,TX,J! Archive - Show #8017,6/18/19,2,0
Claire Sattler,21800,a senior,Bonita Springs,Florida,FL,J! Archive - Show #7866,11/19/18,2,1
Claire Sattler,21800,a senior,Bonita Springs,Florida,FL,J! Archive - Show #7866,11/19/18,2,1
Claire Sattler,26801,a senior,Bonita Springs,Florida,FL,J! Archive - Show #7863,11/14/18,3,1
Claire Sattler,16999,a senior,Bonita Springs,Florida,FL,J! Archive - Show #7860,11/9/18,3,0
Maya Wright,7800,a senior,Peachtree City,Georgia,GA,J! Archive - Show #7866,11/19/18,3,0
Maya Wright,7800,a senior,Peachtree City,Georgia,GA,J! Archive - Show #7866,11/19/18,3,0
Maya Wright,25600,a senior,Peachtree City,Georgia,GA,J! Archive - Show #7864,11/15/18,1,1
Maya Wright,26200,a senior,Peachtree City,Georgia,GA,J! Archive - Show #7858,11/7/18,3,1
Audrey Satchivi,0,a senior,Carmel,Indiana,IN,J! Archive - Show #7865,11/16/18,1,0
Audrey Satchivi,18800,a senior,Carmel,Indiana,IN,J! Archive - Show #7860,11/9/18,2,1
Rohan Kapileshwari,2,a senior,Winston-Salem,North Carolina,NC,J! Archive - Show #7865,11/16/18,3,0
Rohan Kapileshwari,11900,a senior,Winston-Salem,North Carolina,NC,J! Archive - Show #7862,11/13/18,2,0
Tim Cho,26800,a senior,Champaign,Illinois,IL,J! Archive - Show #7863,11/14/18,1,0
Tim Cho,33601,a senior,Champaign,Illinois,IL,J! Archive - Show #7861,11/12/18,1,1
Rhea Sinha,6800,a senior,Chatham,New Jersey,NJ,J! Archive - Show #7861,11/12/18,3,0
Apurva Kanneganti,17200,a senior,Germantown,Tennessee,TN,J! Archive - Show #7405,11/18/16,3,1
Apurva Kanneganti,10800,a senior,Germantown,Tennessee,TN,J! Archive - Show #7398,11/9/16,3,0
Emily LaMonica,0,a senior,Sayreville,New Jersey,NJ,J! Archive - Show #7404,11/17/16,2,0
Emily LaMonica,23201,a senior,Sayreville,New Jersey,NJ,J! Archive - Show #7399,11/10/16,3,1
Kevin Huang,6800,a senior,Irvine,California,CA,J! Archive - Show #6889,7/24/14,1,0
Joe Taglic,37595,a senior,Valley Stream,New York,NY,J! Archive - Show #6892,7/29/14,1,0
Joe Taglic,21998,a senior,Valley Stream,New York,NY,J! Archive - Show #6890,7/25/14,3,1
Emily Lewis,0,a merchandise planner,San Diego,California,CA,J! Archive - Show #7687,1/30/18,2,0
Lindsey Piesz,3000,a merchandise planner,Indianapolis,Indiana,IN,J! Archive - Show #7696,2/12/18,3,0
Kelsey Van Bokkem,2400,an intern physician,San Diego,California,CA,J! Archive - Show #7638,11/22/17,3,0
Dennis Fawcett,836,a painter and handyman,San Diego,California,CA,J! Archive - Show #7597,9/26/17,1,0
Dennis Fawcett,24000,a painter and handyman,San Diego,California,CA,J! Archive - Show #7596,9/25/17,3,1
Lauren Cusitello,18400,a criminal and immigration defense lawyer,San Diego,California,CA,J! Archive - Show #7595,9/22/17,2,1
Larissa Dizon,0,an academic advisor,San Diego,California,CA,J! Archive - Show #7575,7/14/17,2,0
Tanner Hesse,2000,a grad student and Navy reserve officer,San Diego,California,CA,J! Archive - Show #7445,1/13/17,3,0
Dennis Fipps,3999,a retired Navy medical specialist,San Diego,California,CA,J! Archive - Show #7393,11/2/16,3,0
Julie Vazquez-Souza,0,an operations administrator,San Diego,California,CA,J! Archive - Show #7337,7/5/16,3,0
Joe Indiviglia,7995,a real estate marketer,San Diego,California,CA,J! Archive - Show #7288,4/27/16,3,0
Emily Sun,24800,a freshman at Columbia University,San Diego,California,CA,J! Archive - Show #7231,2/8/16,3,0
Emily Sun,8999,a freshman at Columbia University,San Diego,California,CA,J! Archive - Show #7226,2/1/16,3,1
Alex Lautanen Walker,18700,a legal secretary,San Diego,California,CA,J! Archive - Show #7207,1/5/16,2,0
Jon Rossiter,13600,a college geography instructor,San Diego,California,CA,J! Archive - Show #7185,12/4/15,3,1
Rob Seidenwurm,5329,a real estate attorney,San Diego,California,CA,J! Archive - Show #7110,7/10/15,2,0
Kay Yung,16200,a psychiatrist,San Diego,California,CA,J! Archive - Show #7096,6/22/15,2,0
Kevin Ruby,15999,a technical writer,San Diego,California,CA,J! Archive - Show #7093,6/17/15,2,0
Jedidiah Smith,2928,a technical writer,Denver,Colorado,CO,J! Archive - Show #7136,9/28/15,2,0
Adrian Goldstein,10000,a technical writer,Oakland,California,CA,J! Archive - Show #7948,3/13/19,2,1
Jen Stoy,12900,a technical writer,Hyattsville,Maryland,MD,J! Archive - Show #7062,5/5/15,2,0
Ellen Burgett,-2600,a technical writer,Brighton,Michigan,MI,J! Archive - Show #7054,4/23/15,2,0
Amy Berg,1,a graduate student in philosophy,San Diego,California,CA,J! Archive - Show #7076,5/25/15,3,0
Stephanie Hull,-6800,a graduate student of philosophy,Columbia,Missouri,MO,J! Archive - Show #7024,3/12/15,3,0
James Behrens,1199,a geophysicist,San Diego,California,CA,J! Archive - Show #6824,4/24/14,2,0
Monique Aldred,0,a nanny originally,San Diego,California,CA,J! Archive - Show #6815,4/11/14,3,0
Justin Burden,13300,an alcohol lawyer,West Hollywood,California,CA,J! Archive - Show #8035,7/12/19,2,0
Andrew Lee,12401,an aspiring TV writer,West Hollywood,California,CA,J! Archive - Show #7410,11/25/16,1,0
Andrew Lee,14001,an aspiring TV writer,West Hollywood,California,CA,J! Archive - Show #7409,11/24/16,1,1
Andrew Lee,26001,an aspiring TV writer,West Hollywood,California,CA,J! Archive - Show #7408,11/23/16,3,1
Tod Macofsky,12500,a massage therapist,West Hollywood,California,CA,J! Archive - Show #6905,9/26/14,2,0
Heather Ringman,100,an engineer,Houston,Texas,TX,J! Archive - Show #8035,7/12/19,3,0
Sean Harrington,3400,an engineer,Houston,Texas,TX,J! Archive - Show #7452,1/24/17,1,0
Sean Harrington,9200,an engineer,Houston,Texas,TX,J! Archive - Show #7451,1/23/17,2,1
Scott Semproni,1400,an engineer,Portland,Oregon,OR,J! Archive - Show #7946,3/11/19,3,0
Tim Varecka,5999,an engineer,Tucson,Arizona,AZ,J! Archive - Show #7943,3/6/19,3,1
Wayne Erxleben,19999,an engineer,Fort Wayne,Indiana,IN,J! Archive - Show #7978,4/24/19,3,0
Diane Esemplare,800,an engineer,Riverdale,New Jersey,NJ,J! Archive - Show #7594,9/21/17,3,0
Steve Belding,18001,an engineer,Knoxville,Tennessee,TN,J! Archive - Show #7210,1/8/16,1,0
Steve Belding,10399,an engineer,Knoxville,Tennessee,TN,J! Archive - Show #7209,1/7/16,1,1
Steve Belding,24001,an engineer,Knoxville,Tennessee,TN,J! Archive - Show #7208,1/6/16,1,1
Steve Belding,24401,an engineer,Knoxville,Tennessee,TN,J! Archive - Show #7207,1/5/16,3,1
Ryan O'Shea,18515,an engineer,Hermosa Beach,California,CA,J! Archive - Show #7415,12/2/16,2,0
Ben Hatch,84,a pastor,Houston,Texas,TX,J! Archive - Show #8013,6/12/19,2,0
Elizabeth Troyer,3399,a pastor,Charlotte,North Carolina,NC,J! Archive - Show #7357,9/13/16,3,1
Emily Brown,15599,a pastor,Hastings-on-Hudson,New York,NY,J! Archive - Show #7822,9/18/18,2,0
Eric Raygor,9598,a pastor,Somerset,Pennsylvania,PA,J! Archive - Show #7683,1/24/18,3,0
Pat Berwick,7099,a retired technical editor,Houston,Texas,TX,J! Archive - Show #7879,12/6/18,3,0
Ross Belsome,18801,a valuation analyst,Houston,Texas,TX,J! Archive - Show #7770,5/25/18,3,0
